"","Group.1","a1","a2","a3","a4","a5","a6","b1","b2","b3","b4","b5","b6","b7","b8","b9","c1","c2","c3","c4","c5","c6","c7","c8","c9"
"1",0,3.13614278984211,6.47562138224444,3.40578323097727,2.29072542658955,6.37153017629545,6.76598559494737,6.74773368621053,6.19473215072388,5.88864293023881,6.29456528828358,6.87823306630075,6.20159104637313,5.63664077978358,6.54904399703731,6.7335132186791,2.18369837683721,2.01236248154687,2.29811528230469,2.56954609765354,1.92034413314844,2.33684376000769,2.87454821740909,2.89895844475,2.1196694709845
"2",5,3.85540840540233,8.22099626542,4.55632588602594,3.52760584193983,7.9667755689375,8.01033139362323,8.41338190873164,7.88850073169296,7.10880128535694,7.94940025315625,8.5079613209209,7.64638363629545,7.061488484849,8.08464332985836,8.53789777739326,2.89423122464865,2.7277264141018,3.03478260772372,3.50522802547059,2.46836434938775,3.16360107278917,3.77407162721875,3.88945562257925,2.97086525181977
"3",15,3.40951180839286,7.62119392823907,3.80237500138123,3.04833373195029,7.36766192737026,7.59227240636364,7.64436577004692,7.24606264636257,6.82747431595906,7.51742053410145,7.73500814356105,7.08525998177419,6.90819140773099,7.53147127991496,7.45600638864244,2.35058148955452,2.13648974244375,2.47301462115361,3.03022641592331,2.23718352410092,2.67912913571429,3.12830299849405,3.21791985174096,2.52443914692771
"4",25,3.19315070249416,7.19258426958126,3.60223062784483,2.39309226177159,6.72671673003071,6.99268401462188,6.9156175575239,6.91442003336973,6.03610782654319,6.87698895382027,7.1804084239522,6.55223357701533,6.35677157867433,6.89931273645124,7.01517360000574,2.2222408677456,2.07751132561942,2.33747896201957,2.71227366492442,2.0744397368062,2.48109666180962,3.06718333204981,3.07876790510769,2.20564100985907
"5",35,2.9886395049869,6.68960238358135,3.21264146514967,2.2092280642413,6.23323255267679,6.67993973966957,6.4770113818308,6.51516234163341,5.98008364425597,6.55632158662256,6.84056274386551,5.89732606388503,5.91059855050108,6.31170822205206,6.40939035976139,1.97861789255142,1.84209214738562,2.16828868889301,2.48293835347588,1.88720103583406,2.27974751771024,2.86901703622993,2.88038784356182,2.00186783898913
"6",45,3.01728296337586,6.23629326095222,3.04777610165069,2.07782588250512,5.97530324423208,6.29963561274403,6.14425564960068,6.15785907718089,5.74003255923891,6.32622411691468,6.55034273446233,5.53883661512969,5.76585401226712,5.85054327179522,6.19689912832423,1.83977447341581,1.764721631189,2.09401466361644,2.4221392202774,1.69433211807931,2.16529391794521,2.78039652284642,2.83840693016838,1.89067905728669
"7",55,2.96409937975115,6.22492227533486,2.53455543816055,1.71116972728767,6.10756348186758,6.27835246380822,6.25977546874429,6.06741937438813,5.90338656954795,6.30888198759817,6.4126357670137,5.67202921375688,5.83413787414679,5.82710411181735,6.0711530183105,1.83117640656682,1.76818228566972,2.05629811708257,2.31077262554128,1.61779921841121,2.14811814848624,2.73467159786758,2.73681788963014,1.89623650447222
"8",65,2.93744084472,5.70395803824603,2.37692637688889,1.50952385076984,5.67051352378571,5.767886354056,5.81796529265873,5.69067159869048,5.48824777380952,5.67900054613492,6.01898292194444,5.47306650484921,5.4323292323254,5.37797566592857,5.71372889607937,1.5637396117541,1.56737324928571,1.88968210769048,2.10059205761905,1.50653600437302,1.88026411092857,2.49805432794444,2.45920236352381,1.61747133184921
"9",75,2.46487045019048,5.62362909491667,2.63460580392857,1.4008816632381,5.47917690964286,5.5783190225119,5.55999721463095,5.63104783102381,5.34702308732143,5.82502060480952,6.13157153047619,4.84396319966265,5.21482367603571,5.12971787927381,5.50056139717857,1.46307462416867,1.54271199095181,1.74443624945783,1.95066137513095,1.36774158360241,1.81085196556098,2.34095093707143,2.32880830950602,1.61733621220238
"10",85,2.44208095910714,5.50392571117857,2.19795557483929,1.095862724125,5.45968640466071,5.70489123103571,5.65110535944643,5.58854394633929,5.36052151033929,5.60643068994643,6.23444310396429,4.92615612173214,5.07799330164286,5.48031467148214,5.52162725769643,1.34818274252727,1.46624518601786,1.73339132553571,2.02502668844643,1.20503544683929,1.70762633405357,2.35106731380357,2.37058859792857,1.47465587823214
"11",95,2.6331230895,6.2276590220625,1.6422248355625,0.9279779540625,5.8777985821875,5.945784011375,6.13589239528125,5.6783046663125,5.59475781628125,5.92824164621875,6.064346049625,4.940698102,5.44703144078125,5.5142793239375,5.5144333291875,1.474950471375,1.517656199625,1.623048985,2.0704920751875,1.41127005390625,1.9872788575625,2.4768998923125,2.58494063325,1.58857106284375
"12",125,3.02640859852,6.19117508796053,2.17754942746053,1.41277330035526,6.03534508389474,6.28288731317105,5.97751259489474,5.83367720610526,5.90918488271053,5.94183259557895,6.15324622301316,5.14297013626316,5.88242133084,5.83189986082895,5.90532241588158,1.6140680374,1.48109156922667,1.97462517426667,2.04119683928,1.33478470021333,1.9611938367027,2.55332373726667,2.54984127581579,1.65379744482667
"13",175,2.8306903505,5.96761403707143,3.15139322625,1.90100751275,6.26821379175,6.89187972553571,6.68514961525,6.00904870089286,6.49331409353571,6.740764945,6.42493198028571,5.44474430203571,5.74574279496429,6.1904778145,6.24044965728571,1.45114449221429,1.62436196567857,2.00346766203571,2.1036338965,1.39076289539286,2.07863494510714,2.38412615735714,2.54331075664286,2.05754068662963
"14",250,2.9253059377,6.11434985475,3.12442170765,1.43515740955,6.23097608505,6.70840263955,6.75811249085,6.248277432,6.3210912566,5.91440342795,6.87365884955,4.97774468725,6.2565488641,6.00383707775,6.5603468432,1.4218117992,1.48593003035,1.7873939658,2.0002379165,1.3088031299,1.9113096635,2.4334540432,2.7406584227,1.3466898705
"15",350,2.525269468125,5.853410659625,3.0963450424375,1.448703080125,5.4314571134375,5.7639114086875,5.5738346328125,5.0175156373125,5.5513162005,5.7527243506875,5.5918060960625,4.5924022400625,5.4798761055,5.245261928375,4.9602389306875,1.26980698353333,1.50939276813333,1.69148817506667,1.75920033206667,1.3891897854375,1.906607893,2.4559323371875,2.29797868953333,1.713317881
